epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3371.81,0.8047,2.97255,0.84599,1.20016,0.74366,0.57731,0.62721,0.542,0.36539,0.27229,0.20346,0.11659,1.04116,3.24842,1.2984,1.14276,0.0092575,0.0092575,0.0092575
77,3415.33,0.83331,2.93533,0.84675,1.20957,0.7311,0.58679,0.63179,0.54288,0.3907,0.29215,0.19941,0.11051,1.02874,3.29837,1.2923,1.13966,0.0092476,0.0092476,0.0092476
78,3459.07,0.83438,2.8601,0.85261,1.20791,0.73916,0.58495,0.63497,0.54748,0.35068,0.31228,0.19647,0.10782,1.0531,3.34401,1.22553,1.15137,0.0092377,0.0092377,0.0092377
79,3502.91,0.82311,2.8916,0.84359,1.18992,0.68767,0.62109,0.63181,0.54501,0.37072,0.3467,0.22362,0.12404,1.0361,3.43882,1.2937,1.14322,0.0092278,0.0092278,0.0092278
80,3547.25,0.79554,2.8757,0.82676,1.19582,0.73645,0.59448,0.64871,0.55163,0.39845,0.33858,0.23363,0.13071,1.04767,3.35017,1.22105,1.15506,0.0092179,0.0092179,0.0092179
81,3590.74,0.79708,2.88536,0.82958,1.18665,0.6954,0.6086,0.64237,0.55125,0.35157,0.32327,0.20453,0.11399,1.05296,3.38183,1.29936,1.16089,0.009208,0.009208,0.009208
82,3634.25,0.79583,2.93911,0.84624,1.20463,0.72202,0.59652,0.63139,0.54837,0.3523,0.31742,0.18526,0.09886,1.03195,3.29364,1.31258,1.14638,0.0091981,0.0091981,0.0091981
83,3678.26,0.79697,2.91987,0.81752,1.18406,0.72218,0.58488,0.62936,0.54504,0.34088,0.27577,0.17779,0.09798,1.02255,3.37295,1.2559,1.13699,0.0091882,0.0091882,0.0091882
84,3721.61,0.80387,2.90295,0.82994,1.20303,0.70865,0.60722,0.6475,0.55392,0.40464,0.3508,0.23109,0.1221,1.03663,3.35799,1.23084,1.13587,0.0091783,0.0091783,0.0091783
85,3765.28,0.78375,2.84515,0.8245,1.19231,0.6995,0.63009,0.64138,0.54571,0.38898,0.34973,0.21745,0.11234,1.06322,3.38209,1.22928,1.15978,0.0091684,0.0091684,0.0091684
86,3809.2,0.83859,2.81109,0.84978,1.20197,0.68491,0.61029,0.63643,0.54499,0.37407,0.33136,0.20668,0.11079,1.02075,3.49791,1.23145,1.13138,0.0091585,0.0091585,0.0091585
87,3853.35,0.81662,2.83919,0.84008,1.19179,0.70902,0.60714,0.63807,0.54604,0.3709,0.34057,0.21724,0.11931,1.0581,3.33221,1.23681,1.16613,0.0091486,0.0091486,0.0091486
88,3896.3,0.80273,2.83214,0.8248,1.19384,0.70903,0.57184,0.62882,0.53945,0.34616,0.34168,0.20726,0.10866,1.07148,3.38421,1.26481,1.18359,0.0091387,0.0091387,0.0091387
89,3939.95,0.8066,2.82583,0.8181,1.1913,0.68897,0.58783,0.62664,0.54519,0.31173,0.3236,0.18772,0.10244,1.06056,3.40616,1.31321,1.17692,0.0091288,0.0091288,0.0091288
90,3983.74,0.80353,2.84999,0.81528,1.19294,0.69368,0.60516,0.63684,0.54788,0.35208,0.30241,0.21589,0.12215,1.04336,3.51211,1.22103,1.15394,0.0091189,0.0091189,0.0091189
91,4027.49,0.80994,2.84233,0.80908,1.18205,0.74182,0.60325,0.63959,0.54508,0.37766,0.32127,0.20166,0.10577,1.06189,3.36992,1.26627,1.16308,0.009109,0.009109,0.009109
92,4070.7,0.81874,2.81251,0.80894,1.19297,0.69972,0.60325,0.63876,0.54233,0.37168,0.32584,0.21027,0.11229,1.08055,3.34908,1.26857,1.18866,0.0090991,0.0090991,0.0090991
93,4113.39,0.78522,2.86175,0.80418,1.1853,0.70265,0.6,0.63402,0.54811,0.37547,0.31662,0.21007,0.12042,1.03296,3.38868,1.265,1.13424,0.0090892,0.0090892,0.0090892
94,4157.02,0.79971,2.83223,0.79482,1.18322,0.69426,0.61057,0.638,0.54815,0.4031,0.36657,0.22727,0.12798,1.06454,3.57641,1.24703,1.16763,0.0090793,0.0090793,0.0090793
95,4200.54,0.81256,2.86927,0.82054,1.18833,0.66444,0.60685,0.64389,0.55099,0.33825,0.3369,0.22365,0.12463,1.0533,3.37873,1.2426,1.15263,0.0090694,0.0090694,0.0090694
96,4243.85,0.79529,2.78675,0.79861,1.19112,0.73451,0.60475,0.65335,0.56197,0.38684,0.34459,0.22355,0.12116,1.02978,3.48629,1.18385,1.13827,0.0090595,0.0090595,0.0090595
97,4286.98,0.79784,2.78445,0.80472,1.18405,0.70322,0.59675,0.62759,0.53892,0.33252,0.30666,0.1919,0.1044,1.044,3.4295,1.25452,1.16325,0.0090496,0.0090496,0.0090496
98,4330.18,0.77493,2.84763,0.80695,1.1785,0.69589,0.59818,0.63298,0.54487,0.33908,0.31705,0.19514,0.11112,1.03901,3.30905,1.22191,1.14961,0.0090397,0.0090397,0.0090397
99,4372.73,0.76143,2.77656,0.77363,1.17058,0.70042,0.59188,0.61882,0.53235,0.34849,0.33257,0.19894,0.10429,1.05532,3.53284,1.3018,1.14328,0.0090298,0.0090298,0.0090298
100,4416.65,0.77151,2.8006,0.79306,1.1768,0.69859,0.60607,0.63282,0.54792,0.34623,0.32181,0.18763,0.09966,1.02939,3.47921,1.24619,1.14021,0.0090199,0.0090199,0.0090199
101,4460.86,0.78112,2.78643,0.7913,1.17412,0.69479,0.59127,0.63216,0.54597,0.34473,0.36696,0.20214,0.11364,1.02886,3.6659,1.27913,1.14722,0.00901,0.00901,0.00901
102,4504.66,0.7948,2.83015,0.81569,1.18497,0.69158,0.59366,0.62949,0.54312,0.36031,0.3111,0.2057,0.11584,1.02024,3.39684,1.28064,1.14871,0.0090001,0.0090001,0.0090001
103,4548.23,0.77175,2.79082,0.78106,1.181,0.72123,0.61052,0.62971,0.54146,0.39909,0.3342,0.2354,0.13499,1.03598,3.40012,1.31432,1.14387,0.0089902,0.0089902,0.0089902
104,4592.02,0.79199,2.7342,0.78807,1.17754,0.65938,0.61373,0.63694,0.54716,0.36977,0.32711,0.21652,0.12591,1.03824,3.43464,1.2438,1.154,0.0089803,0.0089803,0.0089803
105,4637.02,0.78765,2.75879,0.8044,1.18015,0.70628,0.61147,0.6416,0.54647,0.36221,0.3315,0.20109,0.10535,1.03853,3.3011,1.24069,1.15103,0.0089704,0.0089704,0.0089704
106,4681.18,0.78328,2.77277,0.7661,1.17481,0.7317,0.59987,0.64179,0.55103,0.38894,0.35718,0.22316,0.12899,1.05224,3.47294,1.22953,1.15069,0.0089605,0.0089605,0.0089605
107,4724.8,0.76181,2.73015,0.76346,1.1613,0.6672,0.60615,0.62607,0.54033,0.3269,0.31218,0.20088,0.1121,1.04528,3.38795,1.26586,1.15523,0.0089506,0.0089506,0.0089506
108,4768.34,0.77037,2.74074,0.75972,1.16732,0.7159,0.60174,0.64126,0.55323,0.36075,0.33237,0.20873,0.11176,1.04973,3.48728,1.24615,1.1603,0.0089407,0.0089407,0.0089407
109,4812.67,0.79429,2.72412,0.7768,1.16632,0.70822,0.62394,0.64494,0.55758,0.36812,0.34828,0.21478,0.11618,1.031,3.42578,1.2183,1.14803,0.0089308,0.0089308,0.0089308
110,4856.17,0.76695,2.71623,0.77335,1.16837,0.65121,0.62194,0.63187,0.54633,0.35661,0.34272,0.19729,0.11225,1.04122,3.40489,1.2409,1.14212,0.0089209,0.0089209,0.0089209
111,4899.51,0.76539,2.74591,0.76933,1.17029,0.71099,0.59058,0.6353,0.54276,0.37995,0.3418,0.21946,0.12497,1.04358,3.51348,1.2739,1.1413,0.008911,0.008911,0.008911
